GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,imputed,subbed
01,2000,Alabama,USA,4447100.0,16.1,27.54,447.0,34135.0,85100.0,24.8,70.29,25.86,1.71,0.49,0.7,0.02,0.88,0.06,255910,7585.0,4583.0,1.79,2.96,0,0
02,2000,Alaska,USA,626932.0,9.4,37.5,720.0,51571.0,144200.0,24.8,67.6,3.36,4.12,15.39,3.95,0.51,4.86,0.21,83091,,,,,0,0
04,2000,Arizona,USA,5130632.0,13.91,31.97,619.0,40558.0,121300.0,26.6,63.82,2.92,25.25,4.55,1.74,0.11,1.49,0.12,607773,86683.0,41600.0,6.84,14.26,0,0
05,2000,Arkansas,USA,2673400.0,15.84,30.61,453.0,32182.0,72800.0,24.4,78.56,15.58,3.25,0.62,0.74,0.06,1.14,0.05,319161,939.0,,,0.29,0,0
06,2000,California,USA,33871648.0,14.22,43.09,747.0,47493.0,211500.0,27.7,46.7,6.44,32.38,0.53,10.77,0.31,2.67,0.21,4158366,107580.0,103602.0,2.49,2.59,0,0
08,2000,Colorado,USA,4301261.0,9.26,32.69,671.0,47203.0,166600.0,26.4,74.46,3.68,17.1,0.67,2.17,0.09,1.69,0.13,367209,25456.0,13402.0,3.65,6.93,0,0
09,2000,Connecticut,USA,3405565.0,7.86,33.18,681.0,53935.0,166900.0,25.4,77.49,8.68,9.41,0.21,2.4,0.03,1.55,0.24,431941,,,,,0,0
10,2000,Delaware,USA,783600.0,9.21,27.68,639.0,47381.0,130400.0,24.3,72.48,18.94,4.76,0.3,2.06,0.03,1.3,0.13,68514,4695.0,3608.0,5.27,6.85,0,0
11,2000,District of Columbia,USA,572059.0,20.22,59.24,618.0,40127.0,157200.0,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,147124,,,,,0,0
12,2000,Florida,USA,15982378.0,12.51,29.92,641.0,38819.0,105500.0,27.5,65.44,14.17,16.79,0.27,1.64,0.04,1.48,0.18,1235579,78512.0,35170.0,2.85,6.35,0,0
13,2000,Georgia,USA,8186453.0,12.99,32.5,613.0,42433.0,111200.0,24.9,62.65,28.48,5.32,0.22,2.1,0.04,1.07,0.14,435665,73939.0,24718.0,5.67,16.97,0,0
15,2000,Hawaii,USA,1211537.0,10.7,43.49,779.0,49820.0,272700.0,27.2,22.87,1.72,7.24,0.21,40.79,8.95,18.05,0.17,175353,379.0,377.0,0.21,0.22,0,0
16,2000,Idaho,USA,1293953.0,11.77,27.61,515.0,37572.0,106300.0,25.3,88.05,0.38,7.86,1.22,0.9,0.09,1.41,0.09,81388,712.0,656.0,0.81,0.87,0,0
17,2000,Illinois,USA,12419293.0,10.68,32.73,605.0,46590.0,130800.0,24.4,67.83,14.95,12.32,0.15,3.38,0.03,1.24,0.11,1146815,47899.0,6425.0,0.56,4.18,0,0
18,2000,Indiana,USA,6080485.0,9.49,28.56,521.0,41567.0,94300.0,23.9,85.84,8.31,3.53,0.22,0.96,0.03,1.01,0.1,222072,7000.0,6370.0,2.87,3.15,0,0
19,2000,Iowa,USA,2926324.0,9.13,27.66,470.0,39469.0,82500.0,23.2,92.62,2.08,2.82,0.27,1.24,0.03,0.87,0.07,92469,276.0,270.0,0.29,0.3,0,0
20,2000,Kansas,USA,2688418.0,9.9,30.75,498.0,40624.0,83500.0,23.4,83.1,5.63,7.0,0.83,1.72,0.04,1.58,0.09,167634,3093.0,2451.0,1.46,1.85,0,0
21,2000,Kentucky,USA,4041769.0,15.82,29.25,445.0,33672.0,86700.0,24.0,89.27,7.27,1.48,0.2,0.73,0.03,0.93,0.1,304893,14797.0,11726.0,3.85,4.85,0,0
22,2000,Louisiana,USA,4468976.0,19.64,32.06,466.0,32566.0,85000.0,25.8,62.53,32.3,2.41,0.54,1.21,0.02,0.88,0.11,94930,2991.0,1296.0,1.37,3.15,0,0
23,2000,Maine,USA,1274923.0,10.92,28.42,497.0,37240.0,98700.0,25.3,96.5,0.51,0.73,0.54,0.71,0.03,0.92,0.07,9495,73.0,67.0,0.71,0.77,0,0
24,2000,Maryland,USA,5296486.0,8.49,32.26,689.0,52868.0,146000.0,24.7,62.05,27.65,4.3,0.25,3.96,0.04,1.57,0.18,14152,35.0,30.0,0.21,0.25,0,0
25,2000,Massachusetts,USA,6349097.0,9.34,38.29,684.0,50502.0,185700.0,25.5,81.88,5.01,6.75,0.18,3.73,0.03,1.74,0.69,935528,,,,,0,0
26,2000,Michigan,USA,9938444.0,10.53,26.22,546.0,44667.0,115600.0,24.4,78.55,14.11,3.26,0.54,1.76,0.02,1.64,0.12,118916,11748.0,6616.0,5.56,9.88,0,0
27,2000,Minnesota,USA,4919479.0,7.94,25.45,566.0,47111.0,122400.0,24.7,88.16,3.43,2.91,1.06,2.87,0.03,1.43,0.1,39130,3.0,3.0,0.01,0.01,0,0
28,2000,Mississippi,USA,2844658.0,19.93,27.66,439.0,31330.0,71400.0,25.0,60.74,36.15,1.39,0.39,0.65,0.02,0.61,0.05,183004,7470.0,5683.0,3.11,4.08,0,0
29,2000,Missouri,USA,5595211.0,11.74,29.73,484.0,37934.0,89900.0,24.0,83.76,11.18,2.12,0.42,1.09,0.05,1.29,0.09,363013,11794.0,7037.0,1.94,3.25,0,0
